|Name|Season|Review Link|Year
0|Good News, Bad News| S1, Ep1|https://www.imdb.com/title/tt0098286/reviews?ref_=tt_ov_rt|1989
1|The Stakeout| S1, Ep2|https://www.imdb.com/title/tt0697784/reviews?ref_=tt_ov_rt|1990
2|The Robbery| S1, Ep3|https://www.imdb.com/title/tt0697768/reviews?ref_=tt_ov_rt|1990
3|Male Unbonding| S1, Ep4|https://www.imdb.com/title/tt0697645/reviews?ref_=tt_ov_rt|1990
4|The Stock Tip| S1, Ep5|https://www.imdb.com/title/tt0697788/reviews?ref_=tt_ov_rt|1990
5|The Ex-Girlfriend| S2, Ep1|https://www.imdb.com/title/tt0697692/reviews?ref_=tt_ov_rt|1991
6|The Pony Remark| S2, Ep2|https://www.imdb.com/title/tt0697757/reviews?ref_=tt_ov_rt|1991
7|The Jacket| S2, Ep3|https://www.imdb.com/title/tt0697713/reviews?ref_=tt_ov_rt|1991
8|The Phone Message| S2, Ep4|https://www.imdb.com/title/tt0697751/reviews?ref_=tt_ov_rt|1991
9|The Apartment| S2, Ep5|https://www.imdb.com/title/tt0697650/reviews?ref_=tt_ov_rt|1991
10|The Statue| S2, Ep6|https://www.imdb.com/title/tt0697787/reviews?ref_=tt_ov_rt|1991
11|The Revenge| S2, Ep7|https://www.imdb.com/title/tt0697766/reviews?ref_=tt_ov_rt|1991
12|The Heart Attack| S2, Ep8|https://www.imdb.com/title/tt0697709/reviews?ref_=tt_ov_rt|1991
13|The Deal| S2, Ep9|https://www.imdb.com/title/tt0697682/reviews?ref_=tt_ov_rt|1991
14|The Baby Shower| S2, Ep10|https://www.imdb.com/title/tt0697652/reviews?ref_=tt_ov_rt|1991
15|The Chinese Restaurant| S2, Ep11|https://www.imdb.com/title/tt0697675/reviews?ref_=tt_ov_rt|1991
16|The Busboy| S2, Ep12|https://www.imdb.com/title/tt0697664/reviews?ref_=tt_ov_rt|1991
17|The Note| S3, Ep1|https://www.imdb.com/title/tt0697741/reviews?ref_=tt_ov_rt|1991
18|The Truth| S3, Ep2|https://www.imdb.com/title/tt0697801/reviews?ref_=tt_ov_rt|1991
19|The Pen| S3, Ep3|https://www.imdb.com/title/tt0697749/reviews?ref_=tt_ov_rt|1991
20|The Dog| S3, Ep4|https://www.imdb.com/title/tt0697686/reviews?ref_=tt_ov_rt|1991
21|The Library| S3, Ep5|https://www.imdb.com/title/tt0697721/reviews?ref_=tt_ov_rt|1991
22|The Parking Garage| S3, Ep6|https://www.imdb.com/title/tt0697747/reviews?ref_=tt_ov_rt|1991
23|The Cafe| S3, Ep7|https://www.imdb.com/title/tt0697668/reviews?ref_=tt_ov_rt|1991
24|The Tape| S3, Ep8|https://www.imdb.com/title/tt0697797/reviews?ref_=tt_ov_rt|1991
25|The Nose Job| S3, Ep9|https://www.imdb.com/title/tt0697740/reviews?ref_=tt_ov_rt|1991
26|The Stranded| S3, Ep10|https://www.imdb.com/title/tt0697789/reviews?ref_=tt_ov_rt|1991
27|The Alternate Side| S3, Ep11|https://www.imdb.com/title/tt0697648/reviews?ref_=tt_ov_rt|1991
28|The Red Dot| S3, Ep12|https://www.imdb.com/title/tt0697765/reviews?ref_=tt_ov_rt|1991
29|The Subway| S3, Ep13|https://www.imdb.com/title/tt0697792/reviews?ref_=tt_ov_rt|1992
30|The Pez Dispenser| S3, Ep14|https://www.imdb.com/title/tt0697750/reviews?ref_=tt_ov_rt|1992
31|The Suicide| S3, Ep15|https://www.imdb.com/title/tt0697793/reviews?ref_=tt_ov_rt|1992
32|The Fix Up| S3, Ep16|https://www.imdb.com/title/tt0697698/reviews?ref_=tt_ov_rt|1992
33|The Boyfriend| S3, Ep17|https://www.imdb.com/title/tt0697738/reviews?ref_=tt_ov_rt|1992
34|The New Friend| S3, Ep18|https://www.imdb.com/title/tt13320570/reviews?ref_=tt_ov_rt|1995
35|The Limo| S3, Ep19|https://www.imdb.com/title/tt0697722/reviews?ref_=tt_ov_rt|1992
36|The Good Samaritan| S3, Ep20|https://www.imdb.com/title/tt0697704/reviews?ref_=tt_ov_rt|1992
37|The Letter| S3, Ep21|https://www.imdb.com/title/tt0697720/reviews?ref_=tt_ov_rt|1992
38|The Parking Space| S3, Ep22|https://www.imdb.com/title/tt0697748/reviews?ref_=tt_ov_rt|1992
39|The Keys| S3, Ep23|https://www.imdb.com/title/tt0697717/reviews?ref_=tt_ov_rt|1992
40|The Trip: Part 1| S4, Ep1|https://www.imdb.com/title/tt0697799/reviews?ref_=tt_ov_rt|1992
41|The Trip: Part 2| S4, Ep2|https://www.imdb.com/title/tt0697800/reviews?ref_=tt_ov_rt|1992
42|The Pitch| S4, Ep3|https://www.imdb.com/title/tt0697755/reviews?ref_=tt_ov_rt|1992
43|The Ticket| S4, Ep4|https://www.imdb.com/title/tt0697798/reviews?ref_=tt_ov_rt|1992
44|The Wallet| S4, Ep5|https://www.imdb.com/title/tt0697808/reviews?ref_=tt_ov_rt|1992
45|The Watch| S4, Ep6|https://www.imdb.com/title/tt0697809/reviews?ref_=tt_ov_rt|1992
46|The Bubble Boy| S4, Ep7|https://www.imdb.com/title/tt0697662/reviews?ref_=tt_ov_rt|1992
47|The Cheever Letters| S4, Ep8|https://www.imdb.com/title/tt0697673/reviews?ref_=tt_ov_rt|1992
48|The Opera| S4, Ep9|https://www.imdb.com/title/tt0697743/reviews?ref_=tt_ov_rt|1992
49|The Virgin| S4, Ep10|https://www.imdb.com/title/tt0697804/reviews?ref_=tt_ov_rt|1992
50|The Contest| S4, Ep11|https://www.imdb.com/title/tt0697679/reviews?ref_=tt_ov_rt|1992
51|The Airport| S4, Ep12|https://www.imdb.com/title/tt0697647/reviews?ref_=tt_ov_rt|1992
52|The Pick| S4, Ep13|https://www.imdb.com/title/tt0697752/reviews?ref_=tt_ov_rt|1992
53|The Movie| S4, Ep14|https://www.imdb.com/title/tt0697735/reviews?ref_=tt_ov_rt|1993
54|The Visa| S4, Ep15|https://www.imdb.com/title/tt0697805/reviews?ref_=tt_ov_rt|1993
55|The Shoes| S4, Ep16|https://www.imdb.com/title/tt0697775/reviews?ref_=tt_ov_rt|1993
56|The Outing| S4, Ep17|https://www.imdb.com/title/tt0697745/reviews?ref_=tt_ov_rt|1993
57|The Old Man| S4, Ep18|https://www.imdb.com/title/tt0697742/reviews?ref_=tt_ov_rt|1993
58|The Implant| S4, Ep19|https://www.imdb.com/title/tt0697711/reviews?ref_=tt_ov_rt|1993
59|The Junior Mint| S4, Ep20|https://www.imdb.com/title/tt0697715/reviews?ref_=tt_ov_rt|1993
60|The Smelly Car| S4, Ep21|https://www.imdb.com/title/tt0697778/reviews?ref_=tt_ov_rt|1993
61|The Handicap Spot| S4, Ep22|https://www.imdb.com/title/tt0697708/reviews?ref_=tt_ov_rt|1993
62|The Pilot| S4, Ep23|https://www.imdb.com/title/tt0697754/reviews?ref_=tt_ov_rt|1993
