No.1   Quite the stage setter.
No.2   Not great by the show's standards, but still one hell of a pilot.
No.3   A very good first episode
No.4   Let the fun begin!
No.5   Surprisingly poor start to television's greatest show
No.6   Let the fun begin!
No.7   Hilarious, but
No.8   First Seinfeld Experience... somewhat solid
No.9   And that's the end of that story
No.10   Distinctly, the first episode
No.11   Seems fun
No.12   Educational and Relatable
No.13   That wasn't in the manual...
No.14   Does not accurately represent Seinfeld and its legacy but is still an interesting retrospective viewing experience
No.15   Funny, witty and so much ahead of its time
No.16   Worst episode of television I've ever watched
No.17   The start of it all
No.18   "Art Core... velay"
No.19   What's wrong with Lonnie Anderson?
No.20   This episode feels closer to a "Seinfeld" episode than its predecessor
No.21   more quotes from that episode
No.22   Excellent episode; sets the stage for the whole series, gives the audience something to think about
No.23   Reveals The Grail of the Series
No.24   Lovby
No.25   Brilliant, just brilliant!
No.26   Best episode of the season
No.27   What's The Rent?
No.28   That Kramer.
No.29   "The Stakeout" got George just right in his one brief scene and this episode manages to get Kramer just right with his one scene
No.30   Sweet episode
No.31   Stuff
No.32   Thought-Provoking Commentary
No.33   Almost painful to watch
No.34   The one with no "The" at the beginning...
No.35   "I don't think we're right for each other"
No.36   In this, the only Seinfeld episode whose title does not begin with the word 'The', Kramer conceives the idea of a bake-your-own-pie pizza shop
No.37   Ha
No.38   Immersive
No.39   Heteronormativity, sexism and gender norms
No.40   Alongside the pilot, this is actually my least favourite episode of the first season
No.41   Season 1 finale: excellent!
No.42   The Stock Is Down Again?
No.43   Woh
No.44   Uncanny Valley Realism
No.45   This is more like the Seinfeld I know and love
No.46   "One motion: right off!"
No.47   A splendid start for Seinfeld's second season!
No.48   "You are a cashier." was so sad
No.49   Oh oh
No.50   Nobody likes a kid with a pony
No.51   Best achievement of the second season!
No.52   I appreciate the status of this one as a mild classic of early Seinfeld but I far prefer the season premiere
No.53   Bread
No.54   "Pipe down, chorus boy!"
No.55   One of the really great early Seinfeld episodes...
No.56   My Favorite Episode
No.57   "We had a funny guy with us in Korea. A tail gunner. They blew his brains out all over the Pacific. There's nothing funny about that"
No.58   There's nothing funny about that.
No.59   Suede
No.60   "The idiot's on!"
No.61   "Take it easy"
No.62   "i dont like cofee"
No.63   Beep
No.64   The perfect early 'Seinfeld' portrayal of George Costanza, he singlehandedly elevates this episode
No.65   "You have no idea what an idiot is"
No.66   "But I need the home-bed advantage"
No.67   Ring
No.68   Officer Kramer
No.69   With the exception of one of Kramer's defining moments in the series, I find "The Statue" to be rather un-Seinfeldian in its humour. It doesn't quite work for me
No.70   There are degrees of coincidence.
No.71   Not the best
No.72   Agree with the poster regarding Rava's accent
No.73   Sloppy acting
No.74   Classic
No.75   David + Alexander = Costanza!
No.76   The best episode yet, unlike the previous episode this one really feels like a 'Seinfeld' episode
No.77   Mickey
No.78   One of the best of season 2.
No.79   "I think I'm having a heart attack!"
No.80   "My name is Bob!"
No.81   "There's Nothing Funny About That!"
No.82   Larry David :)
No.83   A disappointment for me personally, especially after "The Revenge" which almost indicated that 'Seinfeld' was finally figuring itself out
No.84   He
No.85   "This" is very good
No.86   "No. You see? You got greedy"
No.87   George
No.88   I hate when Jerry and Elaine get together
No.89   Elements of what make 'Seinfeld' great in the future are present here, but I don't think they come together well here
No.90   One of the first real gems in the series
No.91   Jerry the cable guy
No.92   Yeah
No.93   A real-time treat
No.94   "Where I am?!"
No.95   The best episode yet, a huge landmark of both television and the series, and definitely an early classic even if it may not hold up as well as later 'Seinfeld'.
No.96   Table Waiting Anarchy
No.97   Gang, I feel your pain.
No.98   Not nearly a great show
No.99   Next
No.100   It's alright
No.101   THE Elaine episode of Season 2
No.102   The busboy's coming
No.103   George's unintentionally harmful remark gets a busboy fired and Elaine dates a guy she hates for no good reason
No.104   Fire
No.105   "I think it moved."
No.106   This season three premiere immediately puts the series into a higher gear. This is more like the 'Seinfeld' I know and love!
No.107   Season 3 Kicks Off in high gear!
No.108   Getting it right
No.109   It moved
No.110   Still wallowing at this early stage
No.111   "Pity is very underrated"
No.112   "I saw her naked"
No.113   Pappy eh mash eh, eh?
No.114   George Costanza is the highlight in this tightly plotted and highly entertaining early season three episode
No.115   Good
No.116   Pure, irresistible nonsense
No.117   The show's only episode without both Kramer and George is still an early classic, courtesy of Larry David's fantastic script
No.118   A Trip to Some Stifleing Paradise
No.119   Pen
No.120   This episode founded the classic Seinfeld fictitious film, 'Prognosis Negative' and for that alone it's worth it. Even beyond that, I find this episode gets a bad rep.
No.121   Weakest episode of the series, but it has redeeming qualities
No.122   Brilliant
No.123   In-Jokes Run Leashless
No.124   Ruff
No.125   "Bad year for libraries..."
No.126   Kan't-STANz'yaa!!!
No.127   You better not screw up again Seinfeld
No.128   So funny !
No.129   Best Episode
No.130   The episode that introduces Bookman and the iconic Seinfeld phrase, "Cantstandya" into the show's lexicon
No.131   Pun
No.132   Probably my favorite Season 3 episode!
No.133   One of the best episodes of the show!
No.134   "We're like rats in some experiment'
No.135   "Everything looks the same!"
No.136   Top 10 episode of Seinfeld ever
No.137   Fish
No.138   Lost and Micturition.
No.139   Real deep and meaningful piece of media
No.140   The way in which George lies to his girlfriend is in my opinion the stand out of this overall excellent episode
No.141   "You're a bad man!"
No.142   Babu Bhatt.
No.143   Yum
No.144   Excellent
No.145   "I don't know, who keeps track of hellos?"
No.146   George and Elaine reach new levels of awesomeness!
No.147   Sexy
No.148   "You got butchered!"
No.149   Not quite there
No.150   More of a hit or miss episode here
No.151   Very un-Seinfeld
No.152   Butchered
No.153   Possibly the worst Seinfeld episode ever
No.154   Is that real fur?
No.155   Mistakenly underrated.
No.156   "Maybe the dingo ate your baby!"
No.157   A Low Point
No.158   Too much and too little happens here
No.159   Funny
No.160   "These pretzels are making me thirsty!"
No.161   Woody
No.162   "Was that wrong? Should I not have done that?"
No.163   Kramer and George lead the laughs here
No.164   Good one
No.165   Way ahead of its time
No.166   One hell of an afternoon
No.167   "The Subway" is sure to more than hold up on additional viewings due to its twisted story lines
No.168   Some good laughs in the subway
No.169   I did all this for 8 dollars?
No.170   Excerpts from NY Daily News Classifieds 1/9/92
No.171   funny episode with some wokneszz
No.172   Wedding
No.173   Incredibly silly, therefore a classic
No.174   My favorite episode in the entire series
No.175   Lolly
No.176   Hello, Newman!
No.177   Fast
No.178   "He's bald?"
No.179   "There's a hue"
No.180   Funny
No.181   "Should I shake his hand?"
